thrL	[189:255](+)	['ECDH10B_0001']
diaA	[3391575:3392166](+)	['ECDH10B_3322']
yraP	[3392175:3392751](+)	['ECDH10B_3323']
yhbO	[3394740:3395259](+)	['ECDH10B_3326']
yhbQ	[3395732:3396035](+)	['ECDH10B_3328']
yhbU	[3397251:3398247](+)	['ECDH10B_3331']
yhbV	[3398255:3399134](+)	['ECDH10B_3332']
yhbW	[3399214:3400222](+)	['ECDH10B_3333']
argG	[3414403:3415747](+)	['ECDH10B_3346']
yhbY	[3423556:3423850](+)	['ECDH10B_3354']
dacB	[3424729:3426163](+)	['ECDH10B_3356']
ispB	[3429476:3430448](+)	['ECDH10B_3361']
sfsB	[3430675:3430954](+)	['ECDH10B_3362']
yrbG	[3436041:3437019](+)	['ECDH10B_3370']
kdsD	[3437032:3438019](+)	['ECDH10B_3371']
kdsC	[3438039:3438606](+)	['ECDH10B_3372']
yrbK	[3438602:3439178](+)	['ECDH10B_3373']
yhbN	[3439146:3439704](+)	['ECDH10B_3374']
yhbG	[3439710:3440436](+)	['ECDH10B_3375']
rpoN	[3440483:3441917](+)	['ECDH10B_3376']
hpf	[3441939:3442227](+)	['ECDH10B_3377']
ptsN	[3442344:3442836](+)	['ECDH10B_3378']
yhbJ	[3442881:3443736](+)	['ECDH10B_3379']
npr	[3443732:3444005](+)	['ECDH10B_3380']
yrbL	[3444218:3444851](+)	['ECDH10B_3381']
gltB	[3450398:3454952](+)	['ECDH10B_3387']
gltD	[3454964:3456383](+)	['ECDH10B_3388']
gltF	[3456942:3457707](+)	['ECDH10B_3389']
yhcA	[3457878:3458553](+)	['ECDH10B_3390']
yhcD	[3458573:3460955](+)	['ECDH10B_3391']
yhcF	[3462692:3463409](+)	['ECDH10B_3396']
dcuD	[3470635:3472003](+)	['ECDH10B_3404']
yhcB	[3475957:3476356](+)	['ECDH10B_3410']
degQ	[3476509:3477877](+)	['ECDH10B_3411']
degS	[3477966:3479034](+)	['ECDH10B_3412']
argR	[3480469:3480940](+)	['ECDH10B_3414']
yhcN	[3481304:3481568](+)	['ECDH10B_3415']
aaeR	[3485286:3486216](+)	['ECDH10B_3420']
yhdH	[3499250:3500225](+)	['ECDH10B_3429']
accB	[3501202:3501673](+)	['ECDH10B_3430']
accC	[3501683:3503033](+)	['ECDH10B_3431']
yhdT	[3503141:3503384](+)	['ECDH10B_3432']
panF	[3503373:3504825](+)	['ECDH10B_3433']
prmA	[3504836:3505718](+)	['ECDH10B_3434']
dusB	[3506046:3507012](+)	['ECDH10B_3435']
fis	[3507037:3507334](+)	['ECDH10B_3436']
yhdJ	[3507419:3508304](+)	['ECDH10B_3437']
yhdU	[3508387:3508567](+)	['ECDH10B_3438']
acrE	[3509630:3510788](+)	['ECDH10B_3440']
acrF	[3510799:3513904](+)	['ECDH10B_3441']
yhdV	[3514156:3514378](+)	['ECDH10B_3442']
yhdW	[3514915:3515833](+)	['ECDH10B_3443']
yhdX	[3515900:3517082](+)	['ECDH10B_3444']
yhdY	[3517091:3518195](+)	['ECDH10B_3445']
yhdZ	[3518202:3518961](+)	['ECDH10B_3446']
yrdA	[3525002:3525557](+)	['ECDH10B_3454']
def	[3529456:3529966](+)	['ECDH10B_3461']
fmt	[3529980:3530928](+)	['ECDH10B_3462']
rsmB	[3530973:3532263](+)	['ECDH10B_3463']
mscL	[3533790:3534201](+)	['ECDH10B_3465']
gspC	[3551344:3552160](+)	['ECDH10B_3499']
gspD	[3552143:3554096](+)	['ECDH10B_3500']
gspE	[3554105:3555587](+)	['ECDH10B_3501']
gspF	[3555583:3556780](+)	['ECDH10B_3502']
gspG	[3556789:3557227](+)	['ECDH10B_3503']
gspH	[3557234:3557744](+)	['ECDH10B_3504']
gspI	[3557740:3558118](+)	['ECDH10B_3505']
gspJ	[3558110:3558698](+)	['ECDH10B_3506']
gspK	[3558690:3559674](+)	['ECDH10B_3507']
gspL	[3559688:3560852](+)	['ECDH10B_3508']
gspM	[3560848:3561310](+)	['ECDH10B_3509']
gspO	[3561309:3561987](+)	['ECDH10B_3510']
slyX	[3573406:3573625](+)	['ECDH10B_3523']
yheS	[3577055:3578969](+)	['ECDH10B_3528']
yheT	[3578968:3579991](+)	['ECDH10B_3529']
yheU	[3579984:3580203](+)	['ECDH10B_3530']
prkB	[3580256:3581126](+)	['ECDH10B_3531']
crp	[3581886:3582519](+)	['ECDH10B_3533']
yhfK	[3582557:3584660](+)	['ECDH10B_3534']
tsgA	[3588334:3589516](+)	['ECDH10B_3540']
nirB	[3589777:3592321](+)	['ECDH10B_3541']
nirD	[3592317:3592644](+)	['ECDH10B_3542']
nirC	[3592769:3593576](+)	['ECDH10B_3543']
cysG	[3593594:3594968](+)	['ECDH10B_3544']
yhfL	[3595214:3595382](+)	['ECDH10B_3545']
frlA	[3595676:3597014](+)	['ECDH10B_3546']
frlB	[3597034:3598057](+)	['ECDH10B_3547']
frlC	[3598106:3598937](+)	['ECDH10B_3548']
frlD	[3598933:3599719](+)	['ECDH10B_3549']
frlR	[3599818:3600550](+)	['ECDH10B_3550']
mrcA	[3618637:3621190](+)	['ECDH10B_3571']
yrfF	[3622235:3624371](+)	['ECDH10B_3573']
yrfG	[3624435:3625104](+)	['ECDH10B_3574']
hslR	[3625114:3625516](+)	['ECDH10B_3575']
hslO	[3625540:3626419](+)	['ECDH10B_3576']
pck	[3628584:3630207](+)	['ECDH10B_3578']
greB	[3632578:3633055](+)	['ECDH10B_3581']
yhgF	[3633151:3635473](+)	['ECDH10B_3582']
feoA	[3635929:3636157](+)	['ECDH10B_3583']
feoB	[3636173:3638495](+)	['ECDH10B_3584']
yhgG	[3638494:3638731](+)	['ECDH10B_3585']
gntX	[3640648:3641332](+)	['ECDH10B_3588']
gntY	[3641390:3641966](+)	['ECDH10B_3589']
gntT	[3642325:3643642](+)	['ECDH10B_3590']
malT	[3648851:3651557](+)	['ECDH10B_3593']
rtcR	[3654034:3655633](+)	['ECDH10B_3596']
glpD	[3657780:3659286](+)	['ECDH10B_3600']
yhgN	[3670838:3671432](+)	['ECDH10B_3608']
yhhY	[3676905:3677394](+)	['ECDH10B_3615']
yhhZ	[3677630:3678809](+)	['ECDH10B_3616']
yrhA	[3678808:3679222](+)	['ECDH10B_3617']
insA-6	[3679250:3679526](+)	['ECDH10B_3618']
insB-6	[3679444:3679948](+)	['ECDH10B_3619']
yrhB	[3680526:3680811](+)	['ECDH10B_3620']
yhhA	[3682710:3683151](+)	['ECDH10B_3622']
yhhK	[3693751:3694135](+)	['ECDH10B_3633']
yhhF	[3700160:3700757](+)	['ECDH10B_3639']
yhhL	[3700746:3701016](+)	['ECDH10B_3640']
yhhN	[3701518:3702145](+)	['ECDH10B_3642']
zntA	[3702218:3704417](+)	['ECDH10B_3643']
yhhQ	[3704984:3705650](+)	['ECDH10B_3645']
dcrB	[3705722:3706280](+)	['ECDH10B_3646']
yhhT	[3707632:3708682](+)	['ECDH10B_3648']
acpT	[3708736:3709324](+)	['ECDH10B_3649']
nikA	[3709434:3711009](+)	['ECDH10B_3650']
nikB	[3711008:3711953](+)	['ECDH10B_3651']
nikC	[3711949:3712783](+)	['ECDH10B_3652']
nikD	[3712782:3713547](+)	['ECDH10B_3653']
nikE	[3713543:3714350](+)	['ECDH10B_3654']
nikR	[3714355:3714757](+)	['ECDH10B_3655']
rhsB	[3714959:3719195](+)	['ECDH10B_3656']
yhhH	[3719166:3719550](+)	['ECDH10B_3657']
yrhC	[3719654:3719900](+)	['ECDH10B_3658']
yhhI	[3720145:3721282](+)	['ECDH10B_3659']
yhiM	[3730608:3731661](+)	['ECDH10B_3667']
pitA	[3733409:3734909](+)	['ECDH10B_3669']
uspA	[3735878:3736313](+)	['ECDH10B_3671']
yhiP	[3736629:3738099](+)	['ECDH10B_3672']
yhiR	[3741152:3741995](+)	['ECDH10B_3675']
gor	[3742066:3743419](+)	['ECDH10B_3676']
arsR	[3744295:3744649](+)	['ECDH10B_3677']
arsB	[3744702:3745992](+)	['ECDH10B_3678']
arsC	[3746004:3746430](+)	['ECDH10B_3679']
yhiS	[3747058:3747841](+)	['ECDH10B_3680']
slp	[3749728:3750295](+)	['ECDH10B_3682']
yhiF	[3750450:3750981](+)	['ECDH10B_3683']
hdeD	[3752762:3753335](+)	['ECDH10B_3687']
gadE	[3754133:3754661](+)	['ECDH10B_3688']
mdtE	[3754999:3756157](+)	['ECDH10B_3689']
mdtF	[3756181:3759295](+)	['ECDH10B_3690']
treF	[3765359:3767009](+)	['ECDH10B_3696']
yhjC	[3768109:3769081](+)	['ECDH10B_3698']
yhjD	[3769129:3770143](+)	['ECDH10B_3699']
yhjE	[3770553:3771876](+)	['ECDH10B_3700']
kdgK	[3775186:3776116](+)	['ECDH10B_3703']
bcsF	[3793793:3793985](+)	['ECDH10B_3714']
bcsG	[3793981:3795661](+)	['ECDH10B_3715']
yhjV	[3796330:3797602](+)	['ECDH10B_3718']
tag	[3808691:3809255](+)	['ECDH10B_3728']
yiaC	[3809251:3809692](+)	['ECDH10B_3729']
yiaD	[3812146:3812806](+)	['ECDH10B_3731']
tiaE	[3812909:3813884](+)	['ECDH10B_3732']
yiaG	[3815077:3815368](+)	['ECDH10B_3734']
cspA	[3815648:3815861](+)	['ECDH10B_3735']
insJ	[3816279:3816801](+)	['ECDH10B_3737']
insK	[3816797:3817649](+)	['ECDH10B_3738']
yiaH	[3821486:3822482](+)	['ECDH10B_3742']
xylF	[3826730:3827723](+)	['ECDH10B_3747']
xylG	[3827800:3829342](+)	['ECDH10B_3748']
xylH	[3829319:3830501](+)	['ECDH10B_3749']
xylR	[3830578:3831757](+)	['ECDH10B_3750']
malS	[3833096:3835127](+)	['ECDH10B_3752']
avtA	[3835304:3836558](+)	['ECDH10B_3753']
yiaK	[3838332:3839331](+)	['ECDH10B_3756']
yiaL	[3839342:3839810](+)	['ECDH10B_3757']
yiaM	[3839927:3840401](+)	['ECDH10B_3758']
yiaN	[3840403:3841681](+)	['ECDH10B_3759']
yiaO	[3841693:3842680](+)	['ECDH10B_3760']
lyxK	[3842683:3844180](+)	['ECDH10B_3761']
sgbH	[3844176:3844839](+)	['ECDH10B_3762']
sgbU	[3844831:3845692](+)	['ECDH10B_3763']
sgbE	[3845685:3846381](+)	['ECDH10B_3764']
yiaU	[3847591:3848566](+)	['ECDH10B_3766']
yibA	[3861936:3862779](+)	['ECDH10B_3775']
yibJ	[3862820:3863522](+)	['ECDH10B_3776']
yibG	[3863776:3864238](+)	['ECDH10B_3777']
mtlA	[3867880:3869794](+)	['ECDH10B_3780']
mtlD	[3870023:3871172](+)	['ECDH10B_3781']
mtlR	[3871171:3871759](+)	['ECDH10B_3782']
yibL	[3872264:3872627](+)	['ECDH10B_3784']
lldP	[3872998:3874654](+)	['ECDH10B_3785']
lldR	[3874653:3875430](+)	['ECDH10B_3786']
lldD	[3875426:3876617](+)	['ECDH10B_3787']
yibK	[3876814:3877288](+)	['ECDH10B_3788']
gpmI	[3880859:3882404](+)	['ECDH10B_3794']
envC	[3882437:3883697](+)	['ECDH10B_3795']
yibQ	[3883700:3884660](+)	['ECDH10B_3796']
rfaD	[3889586:3890519](+)	['ECDH10B_3801']
rfaF	[3890528:3891575](+)	['ECDH10B_3802']
rfaC	[3891578:3892538](+)	['ECDH10B_3803']
rfaL	[3892547:3893807](+)	['ECDH10B_3804']
kdtA	[3904139:3905417](+)	['ECDH10B_3815']
coaD	[3905424:3905904](+)	['ECDH10B_3816']
dfp	[3908330:3909551](+)	['ECDH10B_3821']
dut	[3909531:3909987](+)	['ECDH10B_3822']
ttk	[3910093:3910690](+)	['ECDH10B_3823']
yicC	[3912276:3913140](+)	['ECDH10B_3826']
dinD	[3913360:3914185](+)	['ECDH10B_3827']
yicG	[3914474:3915092](+)	['ECDH10B_3828']
gmk	[3917028:3917652](+)	['ECDH10B_3830']
rpoZ	[3917706:3917982](+)	['ECDH10B_3831']
spoT	[3918000:3920115](+)	['ECDH10B_3832']
spoU	[3920121:3920811](+)	['ECDH10B_3833']
recG	[3920816:3922898](+)	['ECDH10B_3834']
yicE	[3924551:3925943](+)	['ECDH10B_3836']
yicH	[3926063:3927773](+)	['ECDH10B_3837']
setC	[3932559:3933744](+)	['ECDH10B_3841']
yicL	[3933854:3934778](+)	['ECDH10B_3842']
yicS	[3935821:3936115](+)	['ECDH10B_3844']
ade	[3939570:3941337](+)	['ECDH10B_3848']
emrD	[3949528:3950713](+)	['ECDH10B_3856']
yidI	[3952021:3952471](+)	['ECDH10B_3860']
yidL	[3955859:3956783](+)	['ECDH10B_3863']
yidP	[3959505:3960222](+)	['ECDH10B_3870']
yidQ	[3963334:3963667](+)	['ECDH10B_3874']
yidX	[3971044:3971701](+)	['ECDH10B_3882']
rpmH	[3979942:3980083](+)	['ECDH10B_3889']
rnpA	[3980099:3980459](+)	['ECDH10B_3890']
yidD	[3980422:3980680](+)	['ECDH10B_3891']
yidC	[3980682:3982329](+)	['ECDH10B_3892']
trmE	[3982434:3983799](+)	['ECDH10B_3893']
tnaC	[3984041:3984116](+)	['ECDH10B_3894']
tnaA	[3984336:3985752](+)	['ECDH10B_3895']
tnaB	[3985842:3987090](+)	['ECDH10B_3896']
mdtL	[3987221:3988397](+)	['ECDH10B_3897']
yidZ	[3988371:3989331](+)	['ECDH10B_3898']
yieE	[3989475:3990237](+)	['ECDH10B_3899']
yieF	[3990258:3990825](+)	['ECDH10B_3900']
yieH	[3992380:3993046](+)	['ECDH10B_3902']
yieI	[3993112:3993580](+)	['ECDH10B_3903']
cbrC	[3993628:3994216](+)	['ECDH10B_3904']
asnA	[4022761:4023754](+)	['ECDH10B_3932']
trkD	[4026922:4028791](+)	['ECDH10B_3935']
rbsD	[4028957:4029377](+)	['ECDH10B_3936']
rbsA	[4029384:4030890](+)	['ECDH10B_3937']
rbsC	[4030894:4031860](+)	['ECDH10B_3938']
rbsB	[4031884:4032775](+)	['ECDH10B_3939']
rbsK	[4032900:4033830](+)	['ECDH10B_3940']
yifE	[4045028:4045367](+)	['ECDH10B_3952']
ilvL	[4047264:4047363](+)	['ECDH10B_3954']
ilvM	[4049143:4049407](+)	['ECDH10B_3958']
ilvE	[4049426:4050356](+)	['ECDH10B_3959']
ilvA	[4052273:4053818](+)	['ECDH10B_3961']
ilvC	[4054912:4056388](+)	['ECDH10B_3963']
rep	[4057619:4059641](+)	['ECDH10B_3967']
trxA	[4062703:4063033](+)	['ECDH10B_3970']
rhoL	[4063173:4063275](+)	['ECDH10B_3971']
rho	[4063359:4064619](+)	['ECDH10B_3972']
rfe	[4064858:4065962](+)	['ECDH10B_3973']
wzzE	[4065973:4067020](+)	['ECDH10B_3974']
rffE	[4067075:4068206](+)	['ECDH10B_3975']
rffD	[4068202:4069465](+)	['ECDH10B_3976']
rffG	[4069464:4070532](+)	['ECDH10B_3977']
rffH	[4070550:4071432](+)	['ECDH10B_3978']
rffC	[4071409:4072084](+)	['ECDH10B_3979']
rffA	[4072088:4073219](+)	['ECDH10B_3980']
wzxE	[4073220:4074471](+)	['ECDH10B_3981']
rffT	[4074467:4075547](+)	['ECDH10B_3982']
wzyE	[4075543:4076896](+)	['ECDH10B_3983']
rffM	[4076898:4077639](+)	['ECDH10B_3984']
yifK	[4077829:4079215](+)	['ECDH10B_3985']
aslB	[4079900:4081136](+)	['ECDH10B_3990']
yzcX	[4090792:4091278](+)	['ECDH10B_3999']
yifL	[4091464:4091668](+)	['ECDH10B_4000']
dapF	[4091704:4092529](+)	['ECDH10B_4001']
xerC	[4093229:4094126](+)	['ECDH10B_4003']
yigB	[4094125:4094842](+)	['ECDH10B_4004']
uvrD	[4094925:4097088](+)	['ECDH10B_4005']
corA	[4098368:4099319](+)	['ECDH10B_4007']
pldA	[4101804:4102674](+)	['ECDH10B_4012']
recQ	[4102806:4104636](+)	['ECDH10B_4013']
rhtC	[4104699:4105320](+)	['ECDH10B_4014']
pldB	[4106112:4107135](+)	['ECDH10B_4016']
yigL	[4107142:4107943](+)	['ECDH10B_4017']
metE	[4109995:4112257](+)	['ECDH10B_4020']
udp	[4113373:4114135](+)	['ECDH10B_4022']
rmuC	[4114275:4115703](+)	['ECDH10B_4023']
ubiE	[4115797:4116553](+)	['ECDH10B_4024']
yigP	[4116566:4117172](+)	['ECDH10B_4025']
ubiB	[4117168:4118809](+)	['ECDH10B_4026']
tatA	[4118887:4119157](+)	['ECDH10B_4027']
tatB	[4119160:4119676](+)	['ECDH10B_4028']
tatC	[4119678:4120455](+)	['ECDH10B_4029']
tatD	[4120496:4121279](+)	['ECDH10B_4030']
ubiD	[4121930:4123424](+)	['ECDH10B_4032']
fre	[4123469:4124171](+)	['ECDH10B_4033']
pepQ	[4128103:4129435](+)	['ECDH10B_4036']
yigZ	[4129434:4130049](+)	['ECDH10B_4037']
trkH	[4130087:4131539](+)	['ECDH10B_4038']
hemG	[4131550:4132096](+)	['ECDH10B_4039']
yihD	[4139011:4139281](+)	['ECDH10B_4047']
yihE	[4139357:4140344](+)	['ECDH10B_4048']
dsbA	[4140360:4140987](+)	['ECDH10B_4049']
yihF	[4141141:4142572](+)	['ECDH10B_4050']
polA	[4143908:4146695](+)	['ECDH10B_4052']
yihI	[4148289:4148799](+)	['ECDH10B_4056']
hemN	[4148987:4150361](+)	['ECDH10B_4057']
bipA	[4155349:4157173](+)	['ECDH10B_4061']
yihL	[4157389:4158100](+)	['ECDH10B_4062']
yihM	[4158107:4159088](+)	['ECDH10B_4063']
yihN	[4159189:4160455](+)	['ECDH10B_4064']
yihV	[4171458:4172355](+)	['ECDH10B_4073']
yihW	[4172388:4173174](+)	['ECDH10B_4074']
yihX	[4173272:4173872](+)	['ECDH10B_4075']
rbn	[4173865:4174738](+)	['ECDH10B_4076']
dtd	[4174734:4175172](+)	['ECDH10B_4077']
yiiD	[4175168:4176158](+)	['ECDH10B_4078']
yiiE	[4177010:4177229](+)	['ECDH10B_4079']
yiiF	[4177470:4177689](+)	['ECDH10B_4080']
fdhD	[4183735:4184569](+)	['ECDH10B_4085']
yiiG	[4184721:4185777](+)	['ECDH10B_4086']
rhaS	[4195455:4196292](+)	['ECDH10B_4095']
rhaR	[4196275:4197214](+)	['ECDH10B_4096']
sodA	[4198529:4199150](+)	['ECDH10B_4098']
kdgT	[4199409:4200393](+)	['ECDH10B_4099']
yiiM	[4200541:4201216](+)	['ECDH10B_4100']
cpxP	[4203539:4204040](+)	['ECDH10B_4103']
fieF	[4204188:4205091](+)	['ECDH10B_4104']
pfkA	[4205271:4206234](+)	['ECDH10B_4105']
sbp	[4206553:4207543](+)	['ECDH10B_4106']
cdh	[4207649:4208405](+)	['ECDH10B_4107']
yiiR	[4210034:4210475](+)	['ECDH10B_4110']
yiiS	[4210686:4210986](+)	['ECDH10B_4111']
yiiT	[4211012:4211441](+)	['ECDH10B_4112']
yiiU	[4216234:4216480](+)	['ECDH10B_4117']
rpmE	[4224732:4224945](+)	['ECDH10B_4125']
metB	[4226391:4227552](+)	['ECDH10B_4128']
metL	[4227554:4229987](+)	['ECDH10B_4129']
metF	[4230335:4231226](+)	['ECDH10B_4130']
katG	[4231554:4233735](+)	['ECDH10B_4131']
yijE	[4233827:4234733](+)	['ECDH10B_4132']
frwC	[4240249:4241329](+)	['ECDH10B_4137']
frwB	[4241343:4241664](+)	['ECDH10B_4138']
pflD	[4241714:4244012](+)	['ECDH10B_4139']
pflC	[4243977:4244856](+)	['ECDH10B_4140']
frwD	[4244857:4245199](+)	['ECDH10B_4141']
argC	[4252720:4253725](+)	['ECDH10B_4146']
argB	[4253735:4254509](+)	['ECDH10B_4147']
argH	[4254569:4255943](+)	['ECDH10B_4148']
oxyR	[4256209:4257127](+)	['ECDH10B_4150']
fabR	[4258843:4259491](+)	['ECDH10B_4152']
yijD	[4259490:4259850](+)	['ECDH10B_4153']
btuB	[4261358:4263203](+)	['ECDH10B_4155']
murI	[4263147:4264005](+)	['ECDH10B_4156']
murB	[4269776:4270805](+)	['ECDH10B_4161']
birA	[4270801:4271767](+)	['ECDH10B_4162']
tufB	[4273662:4274847](+)	['ECDH10B_4168']
secE	[4275076:4275460](+)	['ECDH10B_4169']
nusG	[4275461:4276007](+)	['ECDH10B_4170']
rplK	[4276165:4276594](+)	['ECDH10B_4171']
rplA	[4276597:4277302](+)	['ECDH10B_4172']
rplJ	[4277714:4278212](+)	['ECDH10B_4173']
rplL	[4278278:4278644](+)	['ECDH10B_4174']
rpoB	[4278963:4282992](+)	['ECDH10B_4175']
rpoC	[4283068:4287292](+)	['ECDH10B_4176']
htrC	[4287504:4288044](+)	['ECDH10B_4177']
nudC	[4294621:4295395](+)	['ECDH10B_4185']
hemE	[4295434:4296499](+)	['ECDH10B_4186']
nfi	[4296508:4297180](+)	['ECDH10B_4187']
yjaG	[4297222:4297813](+)	['ECDH10B_4188']
hupA	[4297999:4298272](+)	['ECDH10B_4189']
yjaH	[4298284:4298980](+)	['ECDH10B_4190']
zraS	[4299644:4301042](+)	['ECDH10B_4192']
zraR	[4301038:4302364](+)	['ECDH10B_4193']
yjaA	[4310952:4311336](+)	['ECDH10B_4200']
metA	[4311998:4312928](+)	['ECDH10B_4202']
aceB	[4313196:4314798](+)	['ECDH10B_4203']
aceA	[4314827:4316132](+)	['ECDH10B_4204']
aceK	[4316314:4318051](+)	['ECDH10B_4205']
metH	[4321546:4325230](+)	['ECDH10B_4208']
yjbB	[4325449:4327081](+)	['ECDH10B_4209']
rluF	[4328072:4328945](+)	['ECDH10B_4211']
pgi	[4331476:4333126](+)	['ECDH10B_4214']
yjbE	[4333624:4333867](+)	['ECDH10B_4215']
yjbF	[4333980:4334619](+)	['ECDH10B_4216']
yjbG	[4334615:4335353](+)	['ECDH10B_4217']
yjbH	[4335352:4337449](+)	['ECDH10B_4218']
yjbA	[4338043:4338454](+)	['ECDH10B_4219']
malK	[4344502:4345618](+)	['ECDH10B_4224']
lamB	[4345689:4347030](+)	['ECDH10B_4225']
malM	[4347272:4348193](+)	['ECDH10B_4226']
yjbI	[4348673:4350002](+)	['ECDH10B_4227']
ubiC	[4350224:4350722](+)	['ECDH10B_4228']
ubiA	[4350734:4351607](+)	['ECDH10B_4229']
dgkA	[4354355:4354724](+)	['ECDH10B_4231']
lexA	[4354833:4355442](+)	['ECDH10B_4232']
dinF	[4355460:4356840](+)	['ECDH10B_4233']
yjbJ	[4356955:4357165](+)	['ECDH10B_4234']
yjbL	[4358039:4358294](+)	['ECDH10B_4236']
yjbM	[4358317:4359025](+)	['ECDH10B_4237']
dusA	[4359387:4360425](+)	['ECDH10B_4238']
yjbO	[4360558:4360801](+)	['ECDH10B_4239']
dnaB	[4362032:4363448](+)	['ECDH10B_4241']
alr	[4363500:4364580](+)	['ECDH10B_4242']
tyrB	[4364832:4366026](+)	['ECDH10B_4243']
aphA	[4367132:4367846](+)	['ECDH10B_4244']
yjbQ	[4367956:4368373](+)	['ECDH10B_4245']
yjbR	[4368376:4368733](+)	['ECDH10B_4246']
ssb	[4371843:4372380](+)	['ECDH10B_4248']
soxR	[4375187:4375652](+)	['ECDH10B_4252']
yjcD	[4376197:4377547](+)	['ECDH10B_4254']
yjcE	[4377698:4379348](+)	['ECDH10B_4255']
nrfA	[4385482:4386919](+)	['ECDH10B_4260']
nrfC	[4388303:4388975](+)	['ECDH10B_4263']
nrfD	[4388971:4389928](+)	['ECDH10B_4264']
nrfE	[4390007:4391666](+)	['ECDH10B_4265']
nrfF	[4391658:4392042](+)	['ECDH10B_4266']
nrfG	[4392038:4392635](+)	['ECDH10B_4267']
gltP	[4392976:4394290](+)	['ECDH10B_4268']
rpiB	[4411734:4412184](+)	['ECDH10B_4281']
yjdP	[4412252:4412582](+)	['ECDH10B_4282']
yjdA	[4425519:4427748](+)	['ECDH10B_4301']
yjcZ	[4427744:4428623](+)	['ECDH10B_4302']
proP	[4428886:4430389](+)	['ECDH10B_4303']
melA	[4440295:4441651](+)	['ECDH10B_4311']
melB	[4441765:4443175](+)	['ECDH10B_4312']
yjdI	[4450227:4450458](+)	['ECDH10B_4318']
yjdJ	[4450469:4450742](+)	['ECDH10B_4319']
yjdK	[4450968:4451265](+)	['ECDH10B_4320']
yjdO	[4451292:4451466](+)	['ECDH10B_4321']
fxsA	[4467048:4467525](+)	['ECDH10B_4333']
groS	[4469072:4469366](+)	['ECDH10B_4335']
groL	[4469409:4471056](+)	['ECDH10B_4336']
yjeI	[4471193:4471547](+)	['ECDH10B_4337']
efp	[4474083:4474650](+)	['ECDH10B_4340']
ecnA	[4474701:4474827](+)	['ECDH10B_4341']
ecnB	[4474937:4475084](+)	['ECDH10B_4342']
sugE	[4475259:4475577](+)	['ECDH10B_4343']
poxA	[4481027:4482005](+)	['ECDH10B_4350']
yjeM	[4482223:4483726](+)	['ECDH10B_4351']
yjeN	[4483777:4484092](+)	['ECDH10B_4352']
yjeO	[4484088:4484403](+)	['ECDH10B_4353']
orn	[4489988:4490534](+)	['ECDH10B_4357']
yjeF	[4492450:4493998](+)	['ECDH10B_4362']
yjeE	[4493969:4494431](+)	['ECDH10B_4363']
amiB	[4494449:4495787](+)	['ECDH10B_4364']
mutL	[4495796:4497644](+)	['ECDH10B_4365']
miaA	[4497636:4498587](+)	['ECDH10B_4366']
hfq	[4498672:4498981](+)	['ECDH10B_4367']
hflX	[4499056:4500337](+)	['ECDH10B_4368']
hflK	[4500422:4501682](+)	['ECDH10B_4369']
hflC	[4501684:4502689](+)	['ECDH10B_4370']
yjeT	[4502770:4502968](+)	['ECDH10B_4371']
purA	[4503071:4504370](+)	['ECDH10B_4372']
nsrR	[4504574:4505000](+)	['ECDH10B_4373']
rnr	[4505038:4507480](+)	['ECDH10B_4374']
rlmB	[4507659:4508391](+)	['ECDH10B_4375']
yjfI	[4508517:4508919](+)	['ECDH10B_4376']
yjfJ	[4508937:4509636](+)	['ECDH10B_4377']
yjfK	[4509686:4510346](+)	['ECDH10B_4378']
yjfL	[4510363:4510762](+)	['ECDH10B_4379']
yjfM	[4510771:4511410](+)	['ECDH10B_4380']
yjfC	[4511412:4512576](+)	['ECDH10B_4381']
aidB	[4512659:4514285](+)	['ECDH10B_4382']
yjfP	[4515336:4516086](+)	['ECDH10B_4385']
ulaA	[4518364:4519762](+)	['ECDH10B_4388']
ulaB	[4519777:4520083](+)	['ECDH10B_4389']
ulaC	[4520092:4520557](+)	['ECDH10B_4390']
ulaD	[4520570:4521221](+)	['ECDH10B_4391']
ulaE	[4521230:4522085](+)	['ECDH10B_4392']
ulaF	[4522084:4522771](+)	['ECDH10B_4393']
rpsF	[4523502:4523898](+)	['ECDH10B_4395']
rpsR	[4524223:4524451](+)	['ECDH10B_4397']
rplI	[4524492:4524942](+)	['ECDH10B_4398']
ytfA	[4526153:4526480](+)	['ECDH10B_4400']
fklB	[4527319:4527940](+)	['ECDH10B_4402']
cycA	[4528248:4529661](+)	['ECDH10B_4403']
ytfH	[4532497:4532878](+)	['ECDH10B_4407']
ytfI	[4536091:4537030](+)	['ECDH10B_4410']
ytfK	[4537971:4538178](+)	['ECDH10B_4412']
ytfM	[4540766:4542500](+)	['ECDH10B_4415']
ytfN	[4542496:4546276](+)	['ECDH10B_4416']
ytfP	[4546278:4546620](+)	['ECDH10B_4417']
chpS	[4546831:4547083](+)	['ECDH10B_4419']
chpB	[4547076:4547427](+)	['ECDH10B_4420']
ytfQ	[4548346:4549303](+)	['ECDH10B_4422']
ytfR	[4549442:4550945](+)	['ECDH10B_4423']
yjfF	[4553413:4554409](+)	['ECDH10B_4426']
mpl	[4555615:4556989](+)	['ECDH10B_4428']
pmbA	[4557789:4559142](+)	['ECDH10B_4430']
cybC	[4559383:4559686](+)	['ECDH10B_4431']
mgtA	[4567455:4570152](+)	['ECDH10B_4437']
yjgJ	[4573954:4574548](+)	['ECDH10B_4444']
